Ticker,Exp_Return_15D,Volatility_Risk,Sharpe_Score,Kelly_Raw,Suggested_Weight
00770,0.0009456,0.005364515706455187,0.04643214198396423,32.857291666663045,0.2
6835,0.00118,0.010513576371658255,0.04623793670514162,10.672565742852239,0.2
3530,0.00138,0.014911032531367281,0.04613571044037654,6.206591787397133,0.2
6689,0.0012245,0.012046794262526792,0.04527404654244695,8.437661987555693,0.2
3452,0.00332,0.05839234479387604,0.045245781137703146,0.9739059595241372,0.2
3163,0.001938,0.027840090022425133,0.04523487718917262,2.5002447258257674,0.2
7709,0.001802,0.02513260854355322,0.04491221785525705,2.8535583476627138,0.2
00685L,0.001277,0.013471084412858762,0.04485146723428751,7.036805524975257,0.2
4154,0.002626,0.043643432543244806,0.044786243803959465,1.378879204491144,0.2
6713,0.0055,0.10934418850414078,0.04423844429889112,0.46008060617139807,0.2
3379,0.000908,0.005687717240737319,0.0438858448544027,28.064741065650637,0.2
6188,0.001004,0.008244127040315467,0.04320313055568948,14.775395232419761,0.2
2855,0.001023,0.008738084870692027,0.04310762839875527,13.401928342709226,0.2
8291,0.00203,0.032235111533562386,0.04296420352200331,1.9530499735941567,0.2
9911,0.000863,0.005300663333629229,0.04251463324934422,30.717666663640067,0.2
8054,0.0008755,0.005618478335584579,0.04246060297039452,27.73354248019431,0.2
4136,0.005966,0.12717450140341863,0.041963829410651556,0.36888987865822215,0.18444493932911107
7846,0.003452,0.06891916678838199,0.04113840922773046,0.7268229308778433,0.2
5474,0.0009475,0.008044432630883124,0.04111515560074345,14.641215070701474,0.2
8058,0.00183,0.0296912052061628,0.04094991407685796,2.0759620418627045,0.2
3688,0.00771,0.17437264088404983,0.04071075493185177,0.2535535535338517,0.12677677676692586
4188,0.000854,0.0060272379618114555,0.040614718485272004,23.50872092648493,0.2
1529,0.00096,0.009090451959618146,0.03984454924597875,11.615633855464443,0.2
6124,0.000999,0.010277513174967242,0.03953912224971257,9.462051009898216,0.2
2468,0.000898,0.008176652745193984,0.03874089924752718,13.429792512083512,0.2
6465,0.001574,0.02603966298827228,0.03834248401406177,2.320669596702551,0.2
6589,0.0009093,0.008805498164186071,0.0381982537992584,11.727702008504709,0.2
1432,0.000819,0.007178931975724413,0.03693623474248523,15.895477337093421,0.2
6673,0.002466,0.05233439136389221,0.036626183622847044,0.9004389060496267,0.2
1904,0.001134,0.01606293218060295,0.03650391906386415,4.3947309259498315,0.2
6218,0.001068,0.01442430679139406,0.03630043833988977,5.133673068246024,0.2
00991A,0.001,0.012576400465924937,0.036277554031981664,6.325033920176329,0.2
2939,0.0008116,0.007591234339516835,0.03592441347226874,14.083313612154896,0.2
2399,0.001155,0.01720225335772189,0.03586393735676362,3.902775323649844,0.2
8279,0.000873,0.009410656150032632,0.03576670906770176,9.858676698365235,0.2
00669R,0.0007386,0.005735490505672213,0.0356210892553803,22.453310309795103,0.2
7796,0.001099,0.016035461329275393,0.03539927442495183,4.2725745398004475,0.2
3543,0.001123,0.016891404708524686,0.03522668113851587,3.9374390321562807,0.2
2338,0.001154,0.0180456486749386,0.03491975401066042,3.543565470082742,0.2
5009,0.0007014,0.005153410590028355,0.03480440477225497,26.411512505630654,0.2
3432,0.000838,0.009163047807130613,0.03467289779212586,9.97842385642335,0.2
6963,0.001355,0.024104047324579877,0.03465552279959146,2.332460093066306,0.2
3594,0.000761,0.007023286667011487,0.03455579160362707,15.428446100215021,0.2
6894,0.001098,0.017215801951148454,0.0340726932655005,3.7035728734624453,0.2
1785,0.0009174,0.012149779283415228,0.033791607762470414,6.214960629177399,0.2
6682,0.00136,0.025646965549110876,0.03345734563019699,2.0675100789726906,0.2
4908,0.001136,0.019170783049289975,0.03323968634846502,3.0905241624690234,0.2
6872,0.0007014,0.006252125833097455,0.03300504924662236,17.944333961862853,0.2
3481,0.000897,0.012187350287181526,0.0329907359527776,6.03865612461892,0.2
7872,0.00232,0.055750278851256094,0.032782004186529407,0.746224612886549,0.2
4931,0.0014715,0.030085030994200727,0.0326387592015657,1.625792389668328,0.2
6719,0.0007915,0.009296009926005903,0.032579410571030865,9.159779549927224,0.2
6530,0.00116,0.02108286020617064,0.03213902562390776,2.6090031500811803,0.2
4925,0.00151,0.03204427972102991,0.03209032961761421,1.4702120343715563,0.2
6823,0.0008016,0.010323288046281088,0.031653206387516036,7.521452438472831,0.2
4401,0.0006466,0.005642276971249432,0.031323636797627015,20.310516985949032,0.2
6584,0.0008492,0.012439184077008185,0.03095015421655216,5.488456434434218,0.2
1711,0.0009727,0.01661957505955324,0.030764101064048876,3.5217654454399128,0.2
009812,0.000693,0.007777211892882227,0.030418314327823912,11.454808737422896,0.2
5347,0.001219,0.025730634485961388,0.029923319185888683,1.840898947897192,0.2
7848,0.001345,0.030149589500773174,0.02978279096224751,1.4793004608365248,0.2
4580,0.000615,0.005726897075335021,0.02967737678468154,18.75517174378995,0.2
006201,0.000908,0.0156927439565014,0.029580214480186193,3.686712381023155,0.2
7556,0.0009775,0.018745795980170857,0.02896705044061779,2.781737722803366,0.2
3402,0.0006037,0.005963641609472891,0.028796325253546206,16.973864238842225,0.2
6775,0.000977,0.0192304999219998,0.028529016585363023,2.640698960474421,0.2
3060,0.000679,0.009237125717298468,0.02801553786539235,7.958044650574411,0.2
2880,0.000608,0.007813159512197654,0.026649854281863884,9.959255956826638,0.2
2404,0.0006466,0.009309519743949057,0.026598270691233303,7.460625252598134,0.2
3632,0.000649,0.009424566482979803,0.026570599431792984,7.306433762300558,0.2
6131,0.002365,0.07404249710649205,0.026561612505755533,0.4314094493918983,0.2
6491,0.0005527,0.006121788740156572,0.026165126124319205,14.746768090956458,0.2
8210,0.0006194,0.009290317527800601,0.025500344645430613,7.176589852571288,0.2
6475,0.00132,0.03734242048439316,0.025216358771558867,0.9465231645407856,0.2
6457,0.0004869,0.0053775849257651645,0.02389148372091055,16.83531619950889,0.2
3006,0.0009456,0.024734649996722084,0.023797065905822794,1.5455436196034364,0.2
6729,0.000587,0.009885687631540524,0.02358731454155563,6.00640174373849,0.2
6292,0.0006537,0.01284597334745696,0.023477137456794545,3.9616263589108884,0.2
6265,0.0006394,0.012256901023214715,0.023459696632635547,4.256351743318336,0.2
8255,0.000584,0.01023696003819938,0.02314563710980559,5.57396405668385,0.2
7795,0.0007687,0.018844860946761386,0.022711320936805054,2.1644584540378764,0.2
8059,0.000516,0.007902811517992943,0.022527269404040172,8.261028178359812,0.2
6731,0.001311,0.043427727221551894,0.02244314895368549,0.6952941611552373,0.2
3551,0.000622,0.013176224724526007,0.022068096786424077,3.581506106351354,0.2
3313,0.00047,0.006627893592288166,0.021727636924232862,10.69733668424258,0.2
3236,0.0005403,0.009908556514683114,0.02168959489586118,5.502742865260483,0.2
7712,0.000813,0.02336681735923559,0.021190377797667977,1.4890022237305585,0.2
4768,0.0008326,0.024484270603611885,0.021085806208270105,1.3888008989693519,0.2
2484,0.0004735,0.007899729737593213,0.020677069272061567,7.587433055417755,0.2
6834,0.0004628,0.007385944532356918,0.020672367045636103,8.483079696929543,0.2
6222,0.000548,0.011586614647590195,0.020607584005624832,4.081097713857188,0.2
6452,0.00127,0.047462871889702336,0.02033678809543412,0.563892457377458,0.2
3150,0.00095,0.03290163621743325,0.019829377327092942,0.8774541507850814,0.2
1313,0.0005693,0.01412792646946146,0.01954631296846506,2.8524468838086205,0.2
2246,0.003405,0.1602180484961643,0.019430745512753745,0.13263111713285403,0.06631555856642701
4943,0.0007415,0.02321600388422149,0.019402389199358445,1.3757057386542701,0.2
2105,0.0004492,0.00837628894411265,0.01921522291674404,6.4020298330470435,0.2
00671R,0.0004013,0.006044861111375898,0.019066814767954327,10.981244408883109,0.2
1717,0.0004997,0.011490415278273868,0.018864383081480987,3.784948057350852,0.2
1623,0.0004773,0.010395201505918836,0.01879544036104935,4.417111313709506,0.2
6151,0.0004623,0.009955151503894206,0.018524977690710057,4.6646832294492455,0.2
5381,0.0004592,0.00999557002533333,0.018371022660583866,4.596012975753514,0.2
2379,0.0003908,0.0063962172128462945,0.018263417652763576,9.551523343056326,0.2
7839,0.0006986,0.023567843303593426,0.01811266529135923,1.2576738521556972,0.2
3406,0.0004816,0.012188359408719965,0.017713666446188502,3.2419100483170418,0.2
1727,0.000509,0.014252159618320662,0.017393083260905003,2.504800580331741,0.2
8105,0.0004363,0.010181741014443288,0.017326284132046742,4.208691502691462,0.2
3022,0.0003686,0.0062939918231507555,0.01730981801591002,9.304589897821355,0.2
2923,0.000633,0.021668384037146275,0.017256362000968938,1.3476836687594607,0.2
9924,0.00069,0.026089374752494267,0.01679225765970161,1.0137042796051325,0.2
00675L,0.0004706,0.013426744215541011,0.01655617933513415,2.6106329351832285,0.2
7717,0.000997,0.04544441511280627,0.016487704592469208,0.4825644676736332,0.2
6688,0.002214,0.1252654311740916,0.01578743774684478,0.1411236585864051,0.07056182929320255
7721,0.0006213,0.024903357580028464,0.015570589915712769,1.0018407615523117,0.2
5438,0.0003877,0.010223745360072239,0.015369192960249198,3.7088612666640763,0.2
6770,0.000581,0.02369374723071198,0.015009858187899254,1.0345461702104024,0.2
2255,0.0005255,0.021041307561592663,0.014579785914865489,1.186878428328775,0.2
6919,0.0004385,0.015453528929231571,0.014397404254418433,1.8359738265543182,0.2
6147,0.000639,0.030248178359120907,0.014121271069101254,0.6983553089606535,0.2
8289,0.000628,0.02955103154463398,0.014096071753677619,0.7191352464292253,0.2
00642U,0.000481,0.019455649560473107,0.013956790255944563,1.2704410658938996,0.2
2252,0.000901,0.05244296245986073,0.013362731946128206,0.3276856792322742,0.1638428396161371
4916,0.0003154,0.008688887302627893,0.013315432511529389,4.17803054680669,0.2
6776,0.0003629,0.012288394829513228,0.013297706943177173,2.4030590013873785,0.2
7707,0.0005994,0.030646888401679905,0.013130890819696473,0.638164431647938,0.2
7822,0.0004451,0.0198220647711455,0.01278291480152153,1.1328870998012013,0.2
6573,0.0002732,0.006610417473140355,0.012643332410860922,6.252690577773577,0.2
1598,0.0002573,0.005504183388672376,0.01254639806785511,8.491330590008937,0.2
2912,0.0002804,0.007428214005385324,0.012501229431648652,5.081344066862286,0.2
3005,0.00051,0.025919753304523483,0.012468690988441073,0.7594376801704251,0.2
00661,0.0002916,0.008678389310510414,0.01231443230438741,3.871580513294491,0.2
4113,0.0003397,0.012684359798081855,0.012272144911339662,2.1116301522668057,0.2
4934,0.000266,0.00694192257890417,0.012126336391923963,5.521343392901077,0.2
6405,0.0003273,0.012449573390920239,0.011925457071574221,2.112037831541466,0.2
6468,0.00146,0.11105831373123116,0.011582539343902333,0.11837858034261255,0.05918929017130627
4973,0.000409,0.021459874511588754,0.011214735888057291,0.8878709847166294,0.2
4160,0.0002339,0.006052353407736475,0.011109856535691716,6.384994744435791,0.2
3454,0.000379,0.02,0.010831015450613839,0.9477138519287109,0.2
3705,0.0002142,0.005200937100117158,0.010604413659676785,7.919449137367118,0.2
6812,0.0007677,0.057817654452686926,0.01054288043850475,0.2296545364582673,0.11482726822913365
3642,0.0006022,0.04266455938177723,0.010443942297786193,0.3308559216048238,0.1654279608024119
6633,0.001438,0.12447037997121788,0.010311442970453012,0.09282594893712504,0.04641297446856252
6477,0.0002279,0.007536265027322674,0.01011383924287173,4.0131524879178215,0.2
4907,0.0002086,0.007469365789637539,0.009284474633906989,3.7392171932213074,0.2
6618,0.0002282,0.009815507276411351,0.009194516060410399,2.3682444842495114,0.2
00653L,0.0003285,0.021470949211939008,0.009008287667336147,0.7126672861828892,0.2
2850,0.0001856,0.005877928673526843,0.00889019532219774,5.372174224156813,0.2
00762,0.0001979,0.00803622848824691,0.008590269920063483,3.064175496535264,0.2
4726,0.0001717,0.005445477815128433,0.008396056013232707,5.7889607592404815,0.2
6684,0.0001836,0.008418394514916078,0.007839235340888654,2.590432449577732,0.2
6736,0.002779,0.3447597307422642,0.007724619295978747,0.02338064933946494,0.01169032466973247
8465,0.001137,0.1386334302975922,0.007399299637808492,0.059148046185219655,0.029574023092609827
9944,0.0001478,0.005038352611179763,0.0073768299176698564,5.823105625799147,0.2
8444,0.0002022,0.013830611151213546,0.007012648952105714,1.0569469871145254,0.2
6285,0.0002458,0.020492961436367488,0.006925585950172216,0.5853145431918401,0.2
6754,0.0001887,0.012933919064546153,0.006755525600358601,1.1280561995192533,0.2
6167,0.0001299,0.006264685869787334,0.006110512349254424,3.3108385216846297,0.2
7704,9.984e-05,0.005208087128001842,0.00494048641845158,3.680767903927863,0.2
6830,0.0001897,0.024416294390731428,0.004811765859955907,0.3181418294061916,0.1590709147030958
6155,0.0001191,0.011027912423448962,0.004575475678715604,0.9792396067766008,0.2
2750,0.0001763,0.023690960654347257,0.004556892262787368,0.31413254352600994,0.15706627176300497
2072,0.000308,0.05437026065340749,0.004440473501148476,0.10420289359339854,0.05210144679669927
00677U,0.000297,0.05336936367687401,0.004345068223313461,0.10429754555179338,0.05214877277589669
6976,9.227e-05,0.007185764873237579,0.004158882537496214,1.786919776974027,0.2
5256,0.000511,0.110751616671462,0.004064913415222553,0.04167395586987969,0.020836977934939844
6907,0.0001876,0.03210457770254848,0.003983379766989783,0.18204590089448816,0.09102295044724408
3391,0.0003662,0.08778097738573208,0.0035630225243493056,0.0475259149876717,0.02376295749383585
4510,0.0001225,0.021564289503578367,0.0033515528763716313,0.26353172637831,0.131765863189155
3588,7.194e-05,0.007440032128014341,0.0032060028182438484,1.2996839394247703,0.2
2012,6.43e-05,0.006348689596927555,0.0030125226853222084,1.5956342912388968,0.2
6980,0.0001577,0.040150096250642274,0.0028597210303843643,0.09783556613562787,0.048917783067813934
6873,7.045e-05,0.009644763349801435,0.002858728612018884,0.757381039479634,0.2
5201,5.466e-05,0.00531638628693294,0.002690314039470085,1.9338214872878137,0.2
7642,5.86e-05,0.008083739982514581,0.0025382094001487904,0.8966210907933114,0.2
2344,7.886e-05,0.017178594009941126,0.0024506025655900337,0.26721738916286714,0.13360869458143357
6580,7.3e-05,0.014931083207671628,0.0024394603210063205,0.3275167843882272,0.1637583921941136
5291,9.22e-05,0.024332136025055188,0.00234435234864415,0.1557435057923525,0.07787175289617625
3207,3.755e-05,0.005275391114483484,0.0018520444807435571,1.349308718365421,0.2
6208,4.07e-05,0.007015240854618435,0.001849172246191961,0.8272097320120945,0.2
6190,4.55e-05,0.01707619831794428,0.0014178221344323479,0.15596324483454632,0.07798162241727316
6634,2.59e-05,0.00895867672959276,0.0010821975174142113,0.32305884047813516,0.16152942023906758
6510,2.635e-05,0.01572554214014104,0.000857438181906128,0.10653470802019444,0.05326735401009722
6496,1.97e-05,0.01002485054947792,0.0007883818279612421,0.19631445743941944,0.09815722871970972
8087,1.64e-05,0.007108745895145815,0.0007413933558678823,0.32435964537553136,0.16217982268776568
2727,5.7e-06,0.011444659192141427,0.00021637812977139532,0.04368633464375013,0.021843167321875065
3536,1.043e-05,0.037023821095504776,0.00020050070556225743,0.007609492184924954,0.003804746092462477
3567,3e-07,0.00614470183868556,1.409446329158924e-05,0.007893115897391844,0.003946557948695922
8435,-1.06e-05,0.006061193947219203,-0.0005037523891859116,0.0,0.0
