Ticker,Date,Pred_5d,Pred_20d,Pred_60d,Uncertainty_5d,Uncertainty_20d,Uncertainty_60d
1711,2026-08-10,0.045062236,0.038466074,-0.023927959,0.026519787,0.03794238,0.052130267
1712,2026-08-10,0.01826251,0.027080055,0.004743887,0.019966181,0.028572537,0.030923884
1713,2026-08-10,0.026743703,0.029767653,0.0041873967,0.014800896,0.017225005,0.017961314
1714,2026-08-10,0.28033957,0.4555933,0.4160517,0.0601741,0.07645543,0.08127406
1717,2026-08-10,0.0036948272,-0.030718224,-0.061481938,0.025957674,0.037407644,0.0393915
1718,2026-08-10,0.109431125,0.19039693,0.2358641,0.046879523,0.060427852,0.05797758
1720,2026-08-10,0.011375106,-0.011005265,0.008803402,0.019574918,0.028393107,0.029888734
1721,2026-08-10,-0.026526244,-0.21927048,-0.31033352,0.040930774,0.070296146,0.067669734
1722,2026-08-10,-0.019916832,-0.0018391353,-0.042276237,0.015613216,0.021242484,0.028690157
1723,2026-08-10,0.0020012066,0.043657064,0.033681188,0.013647203,0.016499287,0.0204635
1725,2026-08-10,0.057032906,0.15447833,0.2114922,0.024240738,0.039762713,0.048170928
1726,2026-08-10,0.11949865,0.18506674,0.19168206,0.018056074,0.033253036,0.03221378
1727,2026-08-10,-0.16712727,-0.09064629,-0.0063346894,0.041505013,0.071570545,0.060924083
1730,2026-08-10,0.12065436,0.1983532,0.23801747,0.01483568,0.02762579,0.030148258
1731,2026-08-10,-0.0156101305,0.004898997,0.058122493,0.018158285,0.02091125,0.025623305
1732,2026-08-10,-0.05084389,-0.064567894,-0.058582257,0.021218205,0.026016109,0.030281018
1733,2026-08-10,0.048574567,0.061738063,0.10989729,0.017066421,0.026408792,0.027529145
1734,2026-08-10,0.011237337,0.010118383,0.033333637,0.019918319,0.026257824,0.02669182
1735,2026-08-10,0.00744013,0.046804715,-0.009253428,0.024681907,0.03912844,0.04151875
1736,2026-08-10,-0.082423955,-0.11030423,-0.105944,0.028272297,0.032604154,0.033220854
1737,2026-08-10,0.043210436,0.039441347,0.07357626,0.015704932,0.021487677,0.023929514
1742,2026-08-10,0.3866109,0.728059,0.6651816,0.07176819,0.14659378,0.13500063
1752,2026-08-10,0.057987276,0.11281762,0.19068255,0.04146888,0.07853089,0.072537966
1760,2026-08-10,0.028842958,0.07360086,0.096566446,0.016975133,0.021336576,0.028235601
1762,2026-08-10,-0.089666,-0.14614363,-0.10042872,0.023214424,0.03226329,0.03472071
1773,2026-08-10,0.012623522,0.0957235,0.06387663,0.016156374,0.03653445,0.029996464
1776,2026-08-10,0.0813296,0.15334377,0.17066577,0.021539368,0.031562973,0.037305374
1777,2026-08-10,0.024328347,0.060223214,0.12819692,0.01877819,0.027849823,0.029695509
1781,2026-08-10,0.12753834,0.26685417,0.41132405,0.034153704,0.04121776,0.0509111
1783,2026-08-10,0.08419299,0.17919217,0.24428816,0.01319957,0.03091009,0.03706755
1784,2026-08-10,-0.11604675,-0.1347662,-0.13359731,0.02758582,0.03153588,0.026914474
1785,2026-08-10,-0.121410236,-0.1338158,-0.2190124,0.03631572,0.040913124,0.046493467
1786,2026-08-10,-0.10352699,-0.17108952,-0.20237647,0.020619784,0.029440297,0.03171465
1788,2026-08-10,0.033232562,0.031742223,0.037398674,0.014520527,0.018000452,0.020841237
1789,2026-08-10,-0.024232058,-0.015082854,-0.03020816,0.020371446,0.023078924,0.023709992
1795,2026-08-10,-0.12423379,-0.1492053,-0.14683755,0.03303055,0.069039404,0.08198097
1796,2026-08-10,0.18062665,0.1944027,0.20608075,0.045242984,0.08063778,0.091191635
1799,2026-08-10,-0.14458804,-0.27982464,-0.32933223,0.03129605,0.04367207,0.043766055
1802,2026-08-10,-0.15651672,-0.2312398,-0.30670777,0.032718964,0.041848302,0.06245958
1805,2026-08-10,0.022014152,0.076879814,0.14756502,0.017359236,0.022898154,0.024520246
1806,2026-08-10,-0.045013145,-0.07360913,-0.054063898,0.016587641,0.02258749,0.026404083
1808,2026-08-10,0.11929108,0.1802921,0.19714276,0.030734131,0.057799634,0.055055976
1809,2026-08-10,0.061931644,-0.09632847,-0.08609357,0.0816439,0.07443421,0.07904141
1810,2026-08-10,-0.10819349,-0.17323335,-0.13714609,0.02352592,0.034515593,0.044228137
1813,2026-08-10,-0.17332932,-0.33320886,-0.2907983,0.025208365,0.031177387,0.036597054
1815,2026-08-10,-0.030950805,-0.05104943,-0.11709414,0.028178893,0.029632833,0.031466357
1817,2026-08-10,0.03355296,0.03228833,0.05646097,0.019244319,0.0276755,0.03783893
1903,2026-08-10,-0.006739444,-0.018964399,-0.030190798,0.017019918,0.026570339,0.027614506
1904,2026-08-10,0.09568604,0.09665256,0.032776486,0.02689275,0.02386444,0.020022761
1905,2026-08-10,-0.16648664,-0.19046848,-0.15481247,0.021529112,0.02874522,0.032496765
1906,2026-08-10,-2.342152e-05,-0.038220342,-0.057595562,0.01246974,0.022962509,0.022630798
1907,2026-08-10,0.10748758,0.14790042,0.21613365,0.021400336,0.025528962,0.03569767
1909,2026-08-10,-0.018739112,-0.016746106,0.042553116,0.02038614,0.03004337,0.027316822
2002,2026-08-10,-0.024486398,-0.04921574,-0.0289801,0.028375939,0.030181602,0.025573714
2006,2026-08-10,0.01737533,0.023883412,0.058755223,0.014387027,0.017930709,0.019756937
2007,2026-08-10,-0.018297724,0.0009254728,0.04422436,0.019042362,0.021954736,0.03164979
2008,2026-08-10,0.082658894,0.117259644,0.15565993,0.01495591,0.020702325,0.024744567
2009,2026-08-10,-0.014180996,0.015823623,0.0053010187,0.0124962535,0.01986508,0.024173625
2010,2026-08-10,0.03704935,0.0032666412,-0.036335398,0.02302954,0.037209813,0.04831884
