stock_id,Date,score,rank
8930,2026-08-12,0.057352137,76
8916,2026-08-12,0.057223294,77
5522,2026-08-12,0.056700144,78
2506,2026-08-12,0.056638222,79
3105,2026-08-12,0.05656587,80
6527,2026-08-12,0.056406062,81
3115,2026-08-12,0.056339037,82
8446,2026-08-12,0.056211058,83
2442,2026-08-12,0.0555805,84
6581,2026-08-12,0.055451807,85
6968,2026-08-12,0.055433158,86
9931,2026-08-12,0.0549069,87
6213,2026-08-12,0.054815155,88
6534,2026-08-12,0.054754283,89
2066,2026-08-12,0.05456124,90
1268,2026-08-12,0.054518383,91
8941,2026-08-12,0.054313768,92
8481,2026-08-12,0.05418062,93
5525,2026-08-12,0.05413549,94
9939,2026-08-12,0.053738784,95
9951,2026-08-12,0.05372457,96
5209,2026-08-12,0.053538572,97
3702,2026-08-12,0.05298805,98
8917,2026-08-12,0.052865278,99
7716,2026-08-12,0.05278771,100
5534,2026-08-12,0.05248077,101
9925,2026-08-12,0.05223262,102
2547,2026-08-12,0.05207051,103
7718,2026-08-12,0.052023973,104
2867,2026-08-12,0.05182844,105
2731,2026-08-12,0.051821586,106
5533,2026-08-12,0.05143713,107
2368,2026-08-12,0.051286932,108
2617,2026-08-12,0.051011804,109
1580,2026-08-12,0.050956037,110
1477,2026-08-12,0.050948214,111
8401,2026-08-12,0.050604735,112
2945,2026-08-12,0.050596956,113
4138,2026-08-12,0.05055328,114
1307,2026-08-12,0.05053464,115
6670,2026-08-12,0.05051394,116
1475,2026-08-12,0.05045655,117
3014,2026-08-12,0.0503993,118
2883,2026-08-12,0.050386418,119
2115,2026-08-12,0.04998404,120
2432,2026-08-12,0.049800683,121
1315,2026-08-12,0.049737703,122
3211,2026-08-12,0.0493736,123
1531,2026-08-12,0.049357627,124
6855,2026-08-12,0.04925749,125
1752,2026-08-12,0.049228054,126
2327,2026-08-12,0.049119513,127
6195,2026-08-12,0.048945855,128
2539,2026-08-12,0.048849892,129
2301,2026-08-12,0.04876798,130
8049,2026-08-12,0.04853346,131
6165,2026-08-12,0.048458386,132
4767,2026-08-12,0.0483695,133
2850,2026-08-12,0.048343506,134
4207,2026-08-12,0.04819252,135
4527,2026-08-12,0.048078816,136
5278,2026-08-12,0.047935467,137
5508,2026-08-12,0.047835898,138
4915,2026-08-12,0.047740843,139
5538,2026-08-12,0.047705967,140
6730,2026-08-12,0.04749425,141
6183,2026-08-12,0.0474894,142
2109,2026-08-12,0.047429662,143
8349,2026-08-12,0.047054198,144
9935,2026-08-12,0.04703809,145
4550,2026-08-12,0.04686221,146
3622,2026-08-12,0.046629217,147
9926,2026-08-12,0.04639149,148
8464,2026-08-12,0.046322893,149
8279,2026-08-12,0.046217036,150
8341,2026-08-12,0.045883473,151
4958,2026-08-12,0.045660708,152
2887,2026-08-12,0.045372855,153
6884,2026-08-12,0.04532854,154
8435,2026-08-12,0.04528777,155
2395,2026-08-12,0.045188587,156
5347,2026-08-12,0.04516464,157
4702,2026-08-12,0.045100804,158
2881,2026-08-12,0.04505178,159
2643,2026-08-12,0.04468107,160
2609,2026-08-12,0.044318613,161
2020,2026-08-12,0.044222202,162
2729,2026-08-12,0.044189285,163
3213,2026-08-12,0.04416549,164
8367,2026-08-12,0.044073474,165
2528,2026-08-12,0.044024233,166
6212,2026-08-12,0.043948215,167
4535,2026-08-12,0.04387633,168
4305,2026-08-12,0.04379272,169
1734,2026-08-12,0.043741982,170
3557,2026-08-12,0.043645617,171
7736,2026-08-12,0.043401282,172
2459,2026-08-12,0.043400202,173
2885,2026-08-12,0.043247323,174
5220,2026-08-12,0.04318471,175
6846,2026-08-12,0.043054294,176
6841,2026-08-12,0.04301518,177
2916,2026-08-12,0.04297943,178
2308,2026-08-12,0.042914387,179
2597,2026-08-12,0.04279622,180
2889,2026-08-12,0.042648535,181
9908,2026-08-12,0.04256506,182
1904,2026-08-12,0.042382073,183
1720,2026-08-12,0.04234552,184
4120,2026-08-12,0.042225804,185
5007,2026-08-12,0.04218745,186
1537,2026-08-12,0.042080995,187
