stock_id,Date,score,rank
3310,2026-08-12,0.09063721,70
3611,2026-08-12,0.09063721,71
8433,2026-08-12,0.09057617,72
4105,2026-08-12,0.089904785,73
2063,2026-08-12,0.089782715,74
2506,2026-08-12,0.08959961,75
8109,2026-08-12,0.08935547,76
6841,2026-08-12,0.08917236,77
6641,2026-08-12,0.08892822,78
3512,2026-08-12,0.08856201,79
6698,2026-08-12,0.08850098,80
6229,2026-08-12,0.08843994,81
8284,2026-08-12,0.08831787,82
1752,2026-08-12,0.08831787,83
3646,2026-08-12,0.088256836,84
7708,2026-08-12,0.088134766,85
2539,2026-08-12,0.088012695,86
2605,2026-08-12,0.08795166,87
6281,2026-08-12,0.08782959,88
2729,2026-08-12,0.087768555,89
1817,2026-08-12,0.08734131,90
3213,2026-08-12,0.08728027,91
5278,2026-08-12,0.0871582,92
6612,2026-08-12,0.08709717,93
8481,2026-08-12,0.08703613,94
1537,2026-08-12,0.0869751,95
6474,2026-08-12,0.08691406,96
1315,2026-08-12,0.08673096,97
3141,2026-08-12,0.08642578,98
2537,2026-08-12,0.08618164,99
2732,2026-08-12,0.085998535,100
6195,2026-08-12,0.0859375,101
2945,2026-08-12,0.085754395,102
6936,2026-08-12,0.085510254,103
1558,2026-08-12,0.085510254,104
2751,2026-08-12,0.08532715,105
2459,2026-08-12,0.08526611,106
3158,2026-08-12,0.08520508,107
3164,2026-08-12,0.08508301,108
6212,2026-08-12,0.08477783,109
2897,2026-08-12,0.084228516,110
9941,2026-08-12,0.08416748,111
8424,2026-08-12,0.084106445,112
8927,2026-08-12,0.083984375,113
8917,2026-08-12,0.08380127,114
8446,2026-08-12,0.083618164,115
6581,2026-08-12,0.083496094,116
1451,2026-08-12,0.08312988,117
6028,2026-08-12,0.08306885,118
8076,2026-08-12,0.08270264,119
9918,2026-08-12,0.0826416,120
1447,2026-08-12,0.08227539,121
1472,2026-08-12,0.082214355,122
6757,2026-08-12,0.08215332,123
2432,2026-08-12,0.08215332,124
1506,2026-08-12,0.082092285,125
2433,2026-08-12,0.081970215,126
4120,2026-08-12,0.081604004,127
2020,2026-08-12,0.08154297,128
3218,2026-08-12,0.08148193,129
4432,2026-08-12,0.0814209,130
1525,2026-08-12,0.0814209,131
7718,2026-08-12,0.08135986,132
4207,2026-08-12,0.08123779,133
4167,2026-08-12,0.08093262,134
2752,2026-08-12,0.08093262,135
7743,2026-08-12,0.08081055,136
5902,2026-08-12,0.080566406,137
3306,2026-08-12,0.080444336,138
1531,2026-08-12,0.0803833,139
6782,2026-08-12,0.080322266,140
6136,2026-08-12,0.080200195,141
4711,2026-08-12,0.07965088,142
1720,2026-08-12,0.07952881,143
2612,2026-08-12,0.07946777,144
7642,2026-08-12,0.07940674,145
1539,2026-08-12,0.07891846,146
2855,2026-08-12,0.07879639,147
3689,2026-08-12,0.07879639,148
2753,2026-08-12,0.07873535,149
2516,2026-08-12,0.07873535,150
6925,2026-08-12,0.07867432,151
5220,2026-08-12,0.07849121,152
5538,2026-08-12,0.07824707,153
6754,2026-08-12,0.078125,154
6271,2026-08-12,0.07745361,155
8341,2026-08-12,0.07733154,156
1463,2026-08-12,0.07720947,157
9962,2026-08-12,0.07696533,158
9928,2026-08-12,0.07672119,159
3059,2026-08-12,0.07672119,160
1737,2026-08-12,0.076538086,161
8049,2026-08-12,0.076538086,162
2601,2026-08-12,0.07647705,163
8941,2026-08-12,0.07647705,164
4111,2026-08-12,0.07635498,165
1449,2026-08-12,0.07611084,166
6183,2026-08-12,0.075927734,167
5016,2026-08-12,0.075927734,168
6708,2026-08-12,0.075805664,169
3308,2026-08-12,0.07550049,170
1339,2026-08-12,0.07531738,171
6123,2026-08-12,0.07531738,172
4581,2026-08-12,0.07531738,173
3056,2026-08-12,0.07513428,174
1268,2026-08-12,0.07507324,175
1470,2026-08-12,0.07507324,176
2109,2026-08-12,0.0748291,177
4580,2026-08-12,0.07470703,178
1440,2026-08-12,0.074279785,179
5876,2026-08-12,0.07421875,180
2107,2026-08-12,0.074157715,181
3188,2026-08-12,0.07409668,182
1617,2026-08-12,0.07397461,183
1784,2026-08-12,0.073913574,184
1103,2026-08-12,0.0736084,185
5283,2026-08-12,0.07348633,186
7753,2026-08-12,0.07342529,187
3031,2026-08-12,0.07330322,188
2734,2026-08-12,0.07324219,189
4438,2026-08-12,0.07318115,190
6899,2026-08-12,0.07299805,191
8279,2026-08-12,0.07293701,192
4907,2026-08-12,0.072631836,193
1702,2026-08-12,0.07244873,194
8201,2026-08-12,0.072387695,195
2204,2026-08-12,0.072387695,196
2850,2026-08-12,0.072387695,197
4568,2026-08-12,0.07232666,198
4138,2026-08-12,0.072265625,199
6763,2026-08-12,0.072265625,200
4178,2026-08-12,0.07196045,201
6411,2026-08-12,0.071899414,202
8415,2026-08-12,0.071777344,203
3266,2026-08-12,0.07171631,204
8367,2026-08-12,0.07147217,205
4104,2026-08-12,0.07128906,206
6592,2026-08-12,0.07116699,207
4205,2026-08-12,0.07086182,208
3050,2026-08-12,0.07086182,209
3664,2026-08-12,0.07080078,210
2712,2026-08-12,0.070739746,211
3492,2026-08-12,0.07067871,212
2916,2026-08-12,0.070617676,213
5607,2026-08-12,0.070617676,214
2420,2026-08-12,0.07043457,215
3558,2026-08-12,0.070373535,216
8183,2026-08-12,0.070373535,217
2705,2026-08-12,0.07019043,218
5703,2026-08-12,0.07006836,219
2105,2026-08-12,0.070007324,220
6756,2026-08-12,0.069885254,221
9940,2026-08-12,0.06976318,222
3051,2026-08-12,0.06945801,223
6918,2026-08-12,0.06945801,224
6962,2026-08-12,0.06939697,225
6855,2026-08-12,0.06939697,226
3168,2026-08-12,0.06903076,227
6690,2026-08-12,0.06896973,228
1442,2026-08-12,0.06896973,229
6952,2026-08-12,0.068847656,230
2211,2026-08-12,0.068847656,231
4532,2026-08-12,0.06854248,232
1608,2026-08-12,0.06842041,233
5452,2026-08-12,0.06842041,234
1307,2026-08-12,0.06829834,235
5871,2026-08-12,0.068237305,236
2495,2026-08-12,0.06817627,237
9942,2026-08-12,0.06817627,238
8416,2026-08-12,0.06781006,239
4550,2026-08-12,0.06781006,240
2349,2026-08-12,0.06781006,241
6844,2026-08-12,0.06768799,242
3138,2026-08-12,0.06762695,243
6109,2026-08-12,0.06756592,244
5704,2026-08-12,0.06750488,245
5880,2026-08-12,0.06738281,246
6670,2026-08-12,0.06732178,247
3390,2026-08-12,0.06732178,248
2419,2026-08-12,0.06732178,249
3557,2026-08-12,0.06719971,250
2643,2026-08-12,0.06713867,251
6167,2026-08-12,0.06689453,252
6752,2026-08-12,0.06677246,253
3527,2026-08-12,0.06677246,254
4995,2026-08-12,0.066711426,255
3010,2026-08-12,0.066589355,256
6125,2026-08-12,0.066467285,257
3226,2026-08-12,0.066467285,258
5007,2026-08-12,0.06640625,259
6996,2026-08-12,0.06640625,260
5356,2026-08-12,0.066345215,261
2015,2026-08-12,0.066345215,262
3047,2026-08-12,0.066345215,263
5547,2026-08-12,0.06628418,264
6951,2026-08-12,0.066223145,265
4106,2026-08-12,0.06616211,266
1319,2026-08-12,0.06604004,267
1580,2026-08-12,0.065979004,268
4739,2026-08-12,0.06591797,269
4173,2026-08-12,0.06591797,270
3511,2026-08-12,0.06585693,271
2355,2026-08-12,0.0657959,272
2069,2026-08-12,0.0657959,273
1423,2026-08-12,0.06573486,274
2739,2026-08-12,0.06561279,275
2607,2026-08-12,0.06555176,276
1464,2026-08-12,0.06549072,277
9939,2026-08-12,0.06549072,278
8032,2026-08-12,0.06542969,279
8423,2026-08-12,0.06518555,280
7736,2026-08-12,0.06512451,281
7810,2026-08-12,0.06512451,282
2247,2026-08-12,0.06512451,283
4529,2026-08-12,0.064941406,284
6730,2026-08-12,0.064941406,285
7821,2026-08-12,0.064941406,286
1342,2026-08-12,0.0647583,287
7757,2026-08-12,0.06463623,288
2889,2026-08-12,0.064331055,289
1781,2026-08-12,0.064331055,290
3434,2026-08-12,0.064331055,291
1611,2026-08-12,0.064208984,292
6506,2026-08-12,0.064086914,293
2492,2026-08-12,0.06402588,294
5403,2026-08-12,0.06402588,295
